condition,type,magnitude,n_seeds,map50_mean,map50_std,map50_95_mean,map50_95_std,precision_mean,precision_std,recall_mean,recall_std,drop_pct_mean,drop_pct_std
clean,none,0.0,3,0.876,0.0,0.626,0.0,0.859,0.0,0.795,0.0,0.0,0.0
duplicate_10,duplicate,10.0,3,0.8703,0.0045,0.6177,0.0035,0.8777,0.0181,0.7687,0.0168,0.65,0.51
duplicate_20,duplicate,20.0,3,0.8687,0.0029,0.608,0.0046,0.855,0.001,0.7833,0.0086,0.83,0.33
duplicate_30,duplicate,30.0,3,0.877,0.0061,0.615,0.001,0.86,0.0066,0.7857,0.0102,-0.11,0.7
height_m15,height,-15.0,3,0.8743,0.0012,0.5923,0.0015,0.8497,0.0162,0.7953,0.0085,0.19,0.14
height_m30,height,-30.0,3,0.8673,0.0078,0.578,0.0079,0.8607,0.0147,0.7767,0.0262,0.99,0.89
height_p15,height,15.0,3,0.8703,0.0059,0.6013,0.0051,0.8623,0.0225,0.7827,0.0232,0.65,0.67
height_p30,height,30.0,3,0.8703,0.0021,0.581,0.0017,0.8503,0.0057,0.7863,0.0129,0.65,0.24
missing_10,missing,10.0,3,0.8707,0.0068,0.6033,0.0049,0.8483,0.0501,0.7727,0.0159,0.61,0.78
missing_20,missing,20.0,3,0.847,0.0046,0.5843,0.0093,0.8077,0.0308,0.7713,0.0103,3.31,0.53
missing_30,missing,30.0,3,0.8427,0.007,0.5697,0.0061,0.833,0.035,0.7413,0.0023,3.8,0.8
rot_m15,rotation,-15.0,3,0.8357,0.0106,0.563,0.0078,0.8353,0.009,0.7567,0.0114,4.6,1.21
rot_m7_5,rotation,-7.5,3,0.8693,0.0046,0.575,0.0046,0.859,0.0131,0.7923,0.0101,0.76,0.53
rot_p15,rotation,15.0,3,0.8323,0.005,0.5553,0.0125,0.83,0.0303,0.758,0.0209,4.99,0.57
rot_p7_5,rotation,7.5,3,0.8717,0.004,0.5817,0.0122,0.8647,0.0131,0.7773,0.006,0.49,0.46
scale_m15,scale,-15.0,3,0.8633,0.0015,0.5783,0.0055,0.843,0.0191,0.7797,0.01,1.45,0.17
scale_m30,scale,-30.0,3,0.824,0.0148,0.552,0.0171,0.819,0.0366,0.7443,0.0125,5.94,1.69
scale_p15,scale,15.0,3,0.8677,0.0064,0.5773,0.0093,0.8597,0.011,0.78,0.0101,0.95,0.73
scale_p30,scale,30.0,3,0.8277,0.0114,0.556,0.0053,0.8347,0.021,0.7687,0.0155,5.51,1.3
trans_x_m15,translation_x,-15.0,3,0.859,0.0035,0.577,0.0053,0.8563,0.024,0.766,0.0221,1.94,0.4
trans_x_p15,translation_x,15.0,3,0.8607,0.0078,0.581,0.006,0.8423,0.0158,0.7853,0.0067,1.75,0.89
trans_y_m15,translation_y,-15.0,3,0.854,0.003,0.5763,0.0058,0.8437,0.0189,0.7713,0.0204,2.51,0.34
trans_y_p15,translation_y,15.0,3,0.8577,0.0096,0.575,0.0092,0.8457,0.0231,0.7767,0.008,2.09,1.1
width_m15,width,-15.0,3,0.8743,0.0075,0.6023,0.0006,0.848,0.0156,0.7923,0.0136,0.19,0.86
width_m30,width,-30.0,3,0.8593,0.0055,0.581,0.0044,0.8547,0.0247,0.7623,0.0116,1.91,0.63
width_p15,width,15.0,3,0.871,0.0046,0.592,0.0044,0.866,0.0215,0.7803,0.0156,0.57,0.53
width_p30,width,30.0,3,0.861,0.006,0.5667,0.0025,0.8433,0.0072,0.7803,0.0085,1.71,0.68
