condition,type,magnitude,n_seeds,map50_mean,map50_std,map50_95_mean,map50_95_std,precision_mean,precision_std,recall_mean,recall_std,drop_pct_mean,drop_pct_std
class_swap_10,class_swap,10.0,3,0.5097,0.0466,0.308,0.0223,0.523,0.0775,0.516,0.0197,10.42,8.19
class_swap_20,class_swap,20.0,3,0.458,0.0165,0.2747,0.0101,0.5183,0.0345,0.4733,0.0545,19.51,2.9
class_swap_30,class_swap,30.0,3,0.4303,0.0208,0.2663,0.005,0.4963,0.0395,0.4217,0.0367,24.38,3.66
clean,none,0.0,3,0.569,0.026,0.3367,0.0202,0.641,0.0866,0.5553,0.0393,0.0,4.57
clean_asis,review_sim,0.0,1,0.554,,0.325,,0.591,,0.578,,2.64,
clean_sub200,refined,0.0,1,0.418,,0.237,,0.405,,0.449,,26.54,
duplicate_10,duplicate,10.0,3,0.559,0.0399,0.3397,0.014,0.5907,0.0455,0.528,0.0636,1.76,7.01
duplicate_20,duplicate,20.0,3,0.5457,0.0025,0.327,0.0017,0.601,0.0501,0.51,0.052,4.09,0.44
duplicate_30,duplicate,30.0,3,0.563,0.0092,0.3393,0.0076,0.6293,0.0309,0.5157,0.0111,1.05,1.62
height_m15,height,-15.0,3,0.5387,0.0152,0.311,0.0122,0.5547,0.0263,0.5387,0.0176,5.33,2.67
height_m30,height,-30.0,3,0.5273,0.0395,0.2913,0.0162,0.5703,0.0689,0.523,0.032,7.33,6.94
height_p15,height,15.0,3,0.5347,0.0257,0.319,0.0108,0.5573,0.0402,0.5303,0.0376,6.03,4.52
height_p30,height,30.0,3,0.5233,0.0249,0.3067,0.009,0.5827,0.0971,0.5247,0.0431,8.03,4.38
missing_10,missing,10.0,3,0.5633,0.0115,0.3367,0.0078,0.6057,0.0337,0.5247,0.0174,1.0,2.02
missing_20,missing,20.0,3,0.5267,0.0221,0.3123,0.0081,0.573,0.0566,0.4973,0.0189,7.43,3.88
missing_30,missing,30.0,3,0.4873,0.0031,0.289,0.0079,0.5447,0.0348,0.488,0.007,14.36,0.54
rot_m15,rotation,-15.0,3,0.5187,0.0421,0.295,0.0156,0.5973,0.0356,0.456,0.0749,8.84,7.4
