condition,type,magnitude,map50,map50_95,precision,recall
clean,none,0,0.846,0.56,0.881,0.763
width_m30,width,-30,0.834,0.492,0.905,0.703
height_m30,height,-30,0.837,0.526,0.837,0.753
rot_m15,rotation,-15,0.806,0.481,0.814,0.734
trans_x_m15,translation_x,-15,0.842,0.527,0.852,0.744
trans_y_m15,translation_y,-15,0.833,0.506,0.836,0.768
scale_m30,scale,-30,0.793,0.496,0.861,0.672
missing_30,missing,30,0.806,0.511,0.844,0.722
duplicate_30,duplicate,30,0.842,0.557,0.825,0.781
class_swap_30,class_swap,30,0.722,0.466,0.786,0.64
