error_seed,condition,type,magnitude,map50,map50_95,precision,recall
42,class_swap_10,class_swap,10.0,0.498,0.304,0.524,0.534
42,class_swap_20,class_swap,20.0,0.469,0.281,0.525,0.415
42,class_swap_30,class_swap,30.0,0.412,0.261,0.482,0.456
42,clean,none,0.0,0.599,0.36,0.741,0.51
42,clean_asis,review_sim,0.0,0.554,0.325,0.591,0.578
42,clean_sub200,refined,0.0,0.418,0.237,0.405,0.449
42,duplicate_10,duplicate,10.0,0.584,0.344,0.635,0.558
42,duplicate_20,duplicate,20.0,0.546,0.325,0.605,0.549
42,duplicate_30,duplicate,30.0,0.553,0.331,0.594,0.517
42,height_m15,height,-15.0,0.555,0.325,0.585,0.52
42,height_m30,height,-30.0,0.554,0.306,0.625,0.555
42,height_p15,height,15.0,0.564,0.331,0.595,0.502
42,height_p30,height,30.0,0.507,0.306,0.557,0.547
42,missing_10,missing,10.0,0.552,0.328,0.574,0.505
42,missing_20,missing,20.0,0.511,0.305,0.56,0.484
42,missing_30,missing,30.0,0.488,0.292,0.539,0.496
42,rot_m15,rotation,-15.0,0.499,0.285,0.59,0.396
42,rot_m7_5,rotation,-7.5,0.578,0.335,0.625,0.522
42,rot_p15,rotation,15.0,0.576,0.317,0.656,0.522
42,rot_p7_5,rotation,7.5,0.573,0.321,0.683,0.512
42,scale_m15,scale,-15.0,0.553,0.307,0.577,0.577
42,scale_m30,scale,-30.0,0.496,0.282,0.589,0.454
42,scale_m30_asis,review_sim,0.0,0.498,0.286,0.622,0.433
42,scale_m30_asis_s43,review_sim,0.0,0.494,0.281,0.58,0.507
42,scale_m30_asis_s44,review_sim,0.0,0.529,0.292,0.641,0.458
42,scale_m30_fix_class_weighted_25,review_sim,25.0,0.577,0.34,0.712,0.497
42,scale_m30_fix_class_weighted_25_s43,review_sim,25.0,0.523,0.318,0.56,0.488
42,scale_m30_fix_class_weighted_25_s44,review_sim,25.0,0.587,0.339,0.676,0.493
42,scale_m30_fix_class_weighted_50,review_sim,50.0,0.543,0.327,0.555,0.481
42,scale_m30_fix_class_weighted_50_s43,review_sim,50.0,0.542,0.337,0.612,0.524
42,scale_m30_fix_class_weighted_50_s44,review_sim,50.0,0.549,0.328,0.583,0.56
42,scale_m30_fix_random_25,review_sim,25.0,0.535,0.309,0.692,0.49
42,scale_m30_fix_random_25_s43,review_sim,25.0,0.543,0.288,0.533,0.543
42,scale_m30_fix_random_25_s44,review_sim,25.0,0.547,0.32,0.642,0.52
42,scale_m30_fix_random_50,review_sim,50.0,0.517,0.313,0.556,0.531
42,scale_m30_fix_random_50_s43,review_sim,50.0,0.539,0.305,0.582,0.5
42,scale_m30_fix_random_50_s44,review_sim,50.0,0.541,0.308,0.554,0.525
42,scale_m30_fix_severity_25,review_sim,25.0,0.554,0.321,0.648,0.49
42,scale_m30_fix_severity_25_s43,review_sim,25.0,0.549,0.32,0.585,0.536
42,scale_m30_fix_severity_25_s44,review_sim,25.0,0.581,0.326,0.694,0.558
42,scale_m30_fix_severity_50,review_sim,50.0,0.568,0.329,0.678,0.51
42,scale_m30_fix_severity_50_s43,review_sim,50.0,0.534,0.317,0.561,0.569
42,scale_m30_fix_severity_50_s44,review_sim,50.0,0.562,0.33,0.591,0.539
42,scale_m30_refined30,refined,30.0,0.279,0.156,0.546,0.275
42,scale_m30_refined50,refined,50.0,0.409,0.226,0.424,0.435
42,scale_m30_refined70,refined,70.0,0.397,0.228,0.476,0.424
42,scale_p15,scale,15.0,0.546,0.303,0.548,0.617
42,scale_p30,scale,30.0,0.515,0.288,0.611,0.512
42,trans_x_m15,translation_x,-15.0,0.552,0.337,0.67,0.464
42,trans_x_p15,translation_x,15.0,0.562,0.322,0.706,0.506
42,trans_y_m15,translation_y,-15.0,0.538,0.305,0.542,0.5
42,trans_y_p15,translation_y,15.0,0.546,0.314,0.617,0.575
42,width_m15,width,-15.0,0.573,0.342,0.579,0.567
42,width_m30,width,-30.0,0.541,0.308,0.622,0.478
42,width_p15,width,15.0,0.592,0.345,0.673,0.525
42,width_p30,width,30.0,0.56,0.307,0.543,0.562
123,class_swap_10,class_swap,10.0,0.47,0.288,0.445,0.519
123,class_swap_20,class_swap,20.0,0.466,0.28,0.549,0.482
123,class_swap_30,class_swap,30.0,0.426,0.267,0.466,0.426
123,clean,none,0.0,0.554,0.325,0.591,0.578
123,duplicate_10,duplicate,10.0,0.513,0.324,0.544,0.455
123,duplicate_20,duplicate,20.0,0.548,0.328,0.649,0.451
123,duplicate_30,duplicate,30.0,0.565,0.341,0.651,0.504
123,height_m15,height,-15.0,0.525,0.303,0.539,0.555
123,height_m30,height,-30.0,0.546,0.294,0.593,0.523
123,height_p15,height,15.0,0.516,0.31,0.515,0.573
123,height_p30,height,30.0,0.511,0.298,0.501,0.552
123,missing_10,missing,10.0,0.563,0.343,0.602,0.531
123,missing_20,missing,20.0,0.552,0.321,0.635,0.519
123,missing_30,missing,30.0,0.484,0.295,0.513,0.485
123,rot_m15,rotation,-15.0,0.567,0.313,0.636,0.54
123,rot_m7_5,rotation,-7.5,0.542,0.313,0.517,0.559
123,rot_p15,rotation,15.0,0.556,0.313,0.669,0.493
123,rot_p7_5,rotation,7.5,0.556,0.329,0.587,0.534
123,scale_m15,scale,-15.0,0.561,0.334,0.589,0.569
123,scale_m30,scale,-30.0,0.463,0.267,0.55,0.444
123,scale_p15,scale,15.0,0.522,0.311,0.504,0.545
123,scale_p30,scale,30.0,0.523,0.298,0.586,0.526
123,trans_x_m15,translation_x,-15.0,0.557,0.323,0.629,0.513
123,trans_x_p15,translation_x,15.0,0.523,0.308,0.579,0.532
123,trans_y_m15,translation_y,-15.0,0.518,0.299,0.572,0.503
123,trans_y_p15,translation_y,15.0,0.565,0.33,0.669,0.504
123,width_m15,width,-15.0,0.573,0.34,0.664,0.505
123,width_m30,width,-30.0,0.534,0.298,0.608,0.496
123,width_p15,width,15.0,0.557,0.325,0.652,0.497
123,width_p30,width,30.0,0.533,0.303,0.55,0.527
2024,class_swap_10,class_swap,10.0,0.561,0.332,0.6,0.495
2024,class_swap_20,class_swap,20.0,0.439,0.263,0.481,0.523
2024,class_swap_30,class_swap,30.0,0.453,0.271,0.541,0.383
2024,clean,none,0.0,0.554,0.325,0.591,0.578
2024,duplicate_10,duplicate,10.0,0.58,0.351,0.593,0.571
2024,duplicate_20,duplicate,20.0,0.543,0.328,0.549,0.53
2024,duplicate_30,duplicate,30.0,0.571,0.346,0.643,0.526
2024,height_m15,height,-15.0,0.536,0.305,0.54,0.541
2024,height_m30,height,-30.0,0.482,0.274,0.493,0.491
2024,height_p15,height,15.0,0.524,0.316,0.562,0.516
2024,height_p30,height,30.0,0.552,0.316,0.69,0.475
2024,missing_10,missing,10.0,0.575,0.339,0.641,0.538
2024,missing_20,missing,20.0,0.517,0.311,0.524,0.489
2024,missing_30,missing,30.0,0.49,0.28,0.582,0.483
2024,rot_m15,rotation,-15.0,0.49,0.287,0.566,0.432
2024,rot_m7_5,rotation,-7.5,0.56,0.327,0.615,0.546
2024,rot_p15,rotation,15.0,0.553,0.301,0.676,0.518
2024,rot_p7_5,rotation,7.5,0.552,0.311,0.608,0.473
2024,scale_m15,scale,-15.0,0.549,0.307,0.634,0.509
2024,scale_m30,scale,-30.0,0.526,0.303,0.61,0.473
2024,scale_p15,scale,15.0,0.531,0.304,0.564,0.568
2024,scale_p30,scale,30.0,0.521,0.3,0.626,0.452
2024,trans_x_m15,translation_x,-15.0,0.532,0.318,0.613,0.511
2024,trans_x_p15,translation_x,15.0,0.558,0.316,0.649,0.52
2024,trans_y_m15,translation_y,-15.0,0.503,0.281,0.595,0.463
2024,trans_y_p15,translation_y,15.0,0.509,0.3,0.501,0.542
2024,width_m15,width,-15.0,0.55,0.334,0.724,0.445
2024,width_m30,width,-30.0,0.52,0.298,0.646,0.48
2024,width_p15,width,15.0,0.563,0.339,0.547,0.548
2024,width_p30,width,30.0,0.532,0.293,0.539,0.561
