condition,type,magnitude,map50,map50_95,precision,recall
clean,none,0,0.578,0.353,0.665,0.528
clean_sub200,refined,0,0.402,0.233,0.485,0.422
clean_sub120,refined,0,0.356,0.201,0.459,0.382
clean_sub280,refined,0,0.472,0.286,0.575,0.447
clean_sub360,refined,0,0.536,0.332,0.59,0.533
scale_m30_refined50,refined,50,0.391,0.213,0.438,0.418
scale_m30,scale,-30,0.513,0.285,0.54,0.522
missing_30_refined50,refined,50,0.33,0.191,0.41,0.328
missing_30,missing,30,0.492,0.29,0.598,0.453
missing_30_refined30,refined,30,0.279,0.157,0.424,0.272
missing_30_refined70,refined,70,0.417,0.246,0.501,0.422
missing_30_refined90,refined,90,0.462,0.271,0.499,0.461
