condition,type,magnitude,map50,map50_95,precision,recall
clean,none,0,0.685,0.423,0.71,0.641
clean_sub400,refined,0,0.495,0.3,0.577,0.48
clean_sub240,refined,0,0.446,0.255,0.485,0.465
clean_sub560,refined,0,0.573,0.353,0.666,0.534
scale_m30_refined50,refined,50,0.448,0.258,0.533,0.466
scale_m30,scale,-30,0.625,0.364,0.735,0.553
missing_30_refined50,refined,50,0.397,0.239,0.477,0.404
missing_30,missing,30,0.61,0.365,0.656,0.565
missing_30_refined30,refined,30,0.365,0.215,0.489,0.37
missing_30_refined70,refined,70,0.491,0.3,0.585,0.471
