error_seed,condition,type,magnitude,map50,map50_95,precision,recall
42,clean,none,0.0,0.876,0.626,0.859,0.795
42,height_m15,height,-15.0,0.875,0.594,0.858,0.787
42,height_m30,height,-30.0,0.876,0.587,0.872,0.801
42,height_p15,height,15.0,0.868,0.597,0.884,0.765
42,height_p30,height,30.0,0.871,0.582,0.852,0.797
42,rot_m15,rotation,-15.0,0.826,0.554,0.84,0.744
42,rot_m7_5,rotation,-7.5,0.864,0.57,0.845,0.803
42,rot_p15,rotation,15.0,0.837,0.555,0.811,0.772
42,rot_p7_5,rotation,7.5,0.868,0.579,0.851,0.778
42,scale_m15,scale,-15.0,0.865,0.578,0.865,0.772
42,scale_m30,scale,-30.0,0.817,0.554,0.794,0.744
42,scale_p15,scale,15.0,0.875,0.588,0.865,0.778
42,scale_p30,scale,30.0,0.831,0.56,0.842,0.756
42,trans_x_m15,translation_x,-15.0,0.855,0.579,0.855,0.764
42,trans_x_p15,translation_x,15.0,0.863,0.581,0.825,0.778
42,trans_y_m15,translation_y,-15.0,0.857,0.573,0.86,0.748
42,trans_y_p15,translation_y,15.0,0.856,0.573,0.843,0.769
42,width_m15,width,-15.0,0.882,0.602,0.838,0.805
42,width_m30,width,-30.0,0.863,0.584,0.882,0.749
42,width_p15,width,15.0,0.866,0.59,0.865,0.766
42,width_p30,width,30.0,0.855,0.564,0.848,0.772
123,clean,none,0.0,0.876,0.626,0.859,0.795
123,height_m15,height,-15.0,0.873,0.591,0.831,0.804
123,height_m30,height,-30.0,0.865,0.575,0.844,0.78
123,height_p15,height,15.0,0.877,0.607,0.864,0.774
123,height_p30,height,30.0,0.872,0.579,0.855,0.772
123,rot_m15,rotation,-15.0,0.834,0.567,0.825,0.766
123,rot_m7_5,rotation,-7.5,0.872,0.579,0.861,0.791
123,rot_p15,rotation,15.0,0.827,0.543,0.814,0.768
123,rot_p7_5,rotation,7.5,0.876,0.595,0.866,0.783
123,scale_m15,scale,-15.0,0.863,0.584,0.831,0.776
123,scale_m30,scale,-30.0,0.814,0.534,0.802,0.757
123,scale_p15,scale,15.0,0.865,0.573,0.867,0.771
123,scale_p30,scale,30.0,0.815,0.558,0.811,0.764
123,trans_x_m15,translation_x,-15.0,0.861,0.581,0.881,0.745
123,trans_x_p15,translation_x,15.0,0.867,0.587,0.846,0.791
123,trans_y_m15,translation_y,-15.0,0.854,0.583,0.848,0.78
123,trans_y_p15,translation_y,15.0,0.868,0.585,0.87,0.776
123,width_m15,width,-15.0,0.874,0.603,0.84,0.794
123,width_m30,width,-30.0,0.853,0.576,0.834,0.768
123,width_p15,width,15.0,0.875,0.597,0.845,0.797
123,width_p30,width,30.0,0.867,0.567,0.847,0.789
2024,clean,none,0.0,0.876,0.626,0.859,0.795
2024,height_m15,height,-15.0,0.875,0.592,0.86,0.795
2024,height_m30,height,-30.0,0.861,0.572,0.866,0.749
2024,height_p15,height,15.0,0.866,0.6,0.839,0.809
2024,height_p30,height,30.0,0.868,0.582,0.844,0.79
2024,rot_m15,rotation,-15.0,0.847,0.568,0.841,0.76
2024,rot_m7_5,rotation,-7.5,0.872,0.576,0.871,0.783
2024,rot_p15,rotation,15.0,0.833,0.568,0.865,0.734
2024,rot_p7_5,rotation,7.5,0.871,0.571,0.877,0.771
2024,scale_m15,scale,-15.0,0.862,0.573,0.833,0.791
2024,scale_m30,scale,-30.0,0.841,0.568,0.861,0.732
2024,scale_p15,scale,15.0,0.863,0.571,0.847,0.791
2024,scale_p30,scale,30.0,0.837,0.55,0.851,0.786
2024,trans_x_m15,translation_x,-15.0,0.861,0.571,0.833,0.789
2024,trans_x_p15,translation_x,15.0,0.852,0.575,0.856,0.787
2024,trans_y_m15,translation_y,-15.0,0.851,0.573,0.823,0.786
2024,trans_y_p15,translation_y,15.0,0.849,0.567,0.824,0.785
2024,width_m15,width,-15.0,0.867,0.602,0.866,0.778
2024,width_m30,width,-30.0,0.862,0.583,0.848,0.77
2024,width_p15,width,15.0,0.872,0.589,0.888,0.778
2024,width_p30,width,30.0,0.861,0.569,0.835,0.78
