condition,type,magnitude,map50,map50_Car,map50_Van,map50_Pedestrian,map50_Cyclist
clean,none,0,0.5986,0.8707,0.635,0.518,0.3706
width_m30,width,-30,0.5407,0.854,0.5586,0.3918,0.3586
width_p30,width,30,0.5599,0.846,0.6167,0.4259,0.3511
height_m30,height,-30,0.5545,0.8434,0.5078,0.5604,0.3062
height_p30,height,30,0.5073,0.8618,0.5405,0.4211,0.2057
rot_m15,rotation,-15,0.4989,0.8134,0.5591,0.4192,0.2039
rot_p15,rotation,15,0.5761,0.8292,0.6485,0.4961,0.3306
width_m15,width,-15,0.5733,0.8709,0.5984,0.4764,0.3474
width_p15,width,15,0.5924,0.8688,0.6156,0.5231,0.3619
height_m15,height,-15,0.5545,0.8575,0.5924,0.4989,0.2692
height_p15,height,15,0.5637,0.8724,0.5702,0.4835,0.3287
rot_m7_5,rotation,-7.5,0.5777,0.8679,0.6186,0.509,0.3152
rot_p7_5,rotation,7.5,0.5726,0.858,0.5888,0.4733,0.3705
trans_x_m15,translation_x,-15,0.5521,0.8517,0.579,0.4307,0.3468
trans_x_p15,translation_x,15,0.5621,0.8596,0.5267,0.5127,0.3496
trans_y_m15,translation_y,-15,0.5381,0.8543,0.52,0.4675,0.3108
trans_y_p15,translation_y,15,0.5457,0.8613,0.5831,0.4447,0.2937
scale_m15,scale,-15,0.553,0.853,0.5446,0.5681,0.2465
scale_p15,scale,15,0.5463,0.863,0.6213,0.4399,0.261
scale_m30,scale,-30,0.4959,0.8281,0.4059,0.5085,0.2413
scale_p30,scale,30,0.5147,0.7911,0.5131,0.4973,0.2574
missing_10,missing,10,0.5525,0.8744,0.6083,0.4909,0.2362
missing_20,missing,20,0.5108,0.8544,0.5715,0.3656,0.2519
missing_30,missing,30,0.4885,0.827,0.4701,0.3892,0.2675
duplicate_10,duplicate,10,0.5838,0.8669,0.5808,0.4771,0.4104
duplicate_20,duplicate,20,0.5463,0.8728,0.5848,0.4286,0.2989
duplicate_30,duplicate,30,0.5528,0.8699,0.6027,0.4721,0.2664
class_swap_10,class_swap,10,0.4984,0.8463,0.4866,0.2943,0.3663
class_swap_20,class_swap,20,0.4692,0.8366,0.4891,0.3473,0.2036
class_swap_30,class_swap,30,0.4119,0.8284,0.3257,0.3732,0.1204
