condition,cond_type,suspicion,type_injected,image,tp,raw,w_dev,h_dev,dx,dy,margin,shift_vs_size,match_iou,conf,p_h,p_w,aspect,area_frac,n_labels,covered_by_others,touches_edge
clean,none,width,0,000060.png,0,0.2762,-0.2762,-0.0649,-0.1114,0.0218,0.2113,-0.1648,0.677,0.283,19.7,49.8,2.527,0.002105,2,0.0,0
clean,none,width,0,000075.png,0,0.1413,-0.1413,-0.0166,0.1143,0.0347,0.1247,-0.027,0.733,0.4814,25.3,49.2,1.942,0.002674,5,0.0,0
clean,none,width,0,000136.png,0,0.1698,0.1698,0.04,0.0714,-0.0001,0.1299,-0.0984,0.822,0.7334,57.5,162.3,2.823,0.020033,6,0.403,0
clean,none,translation_x,0,000136.png,0,0.1025,-0.0008,-0.033,0.1025,-0.0467,-0.0322,0.0695,0.746,0.7895,27.8,35.1,1.264,0.002093,6,0.282,0
clean,none,height,0,000136.png,0,0.184,0.0376,0.184,-0.0099,0.1417,-0.1464,-0.0423,0.743,0.7836,36.9,68.8,1.865,0.005446,6,0.054,0
clean,none,translation_x,0,000357.png,0,0.1061,0.0784,0.0416,-0.1061,-0.0603,0.0368,0.0277,0.73,0.5936,39.9,56.8,1.424,0.004859,8,0.661,0
clean,none,scale,0,000386.png,0,0.1555,-0.1289,-0.182,0.0722,-0.0254,-0.0531,-0.1098,0.702,0.3354,82.4,189.6,2.303,0.033474,8,1.0,0
clean,none,scale,0,000421.png,0,0.324,-0.3787,-0.2693,-0.13,-0.052,0.1095,-0.2488,0.454,0.4469,27.3,66.8,2.445,0.00392,7,0.683,0
clean,none,width,0,000493.png,0,0.1643,-0.1643,-0.0118,0.12,0.0117,0.1525,-0.0443,0.752,0.8197,34.4,42.6,1.238,0.003145,4,0.0,0
clean,none,translation_y,0,000521.png,0,0.1324,0.1183,-0.0291,0.0658,0.1324,0.0892,0.0141,0.684,0.5935,19.5,26.8,1.371,0.001121,4,0.0,0
clean,none,height,0,000539.png,0,0.1396,-0.0533,-0.1396,-0.0104,-0.038,-0.0862,-0.1016,0.815,0.8233,30.5,63.2,2.07,0.004145,7,0.278,0
clean,none,width,0,000539.png,0,0.2256,0.2256,-0.0399,-0.1268,0.0656,0.1857,-0.0987,0.707,0.7479,23.8,45.0,1.888,0.002302,7,0.346,0
clean,none,width,0,000539.png,0,0.2833,-0.2833,-0.1115,0.0748,-0.0205,0.1718,-0.2085,0.637,0.6364,21.2,47.7,2.253,0.002168,7,0.411,0
clean,none,width,0,000577.png,0,0.1938,0.1938,-0.1132,-0.1024,0.0588,0.0806,-0.0913,0.746,0.4308,130.9,69.6,0.532,0.019575,5,0.0,1
clean,none,width,0,000601.png,0,0.1387,-0.1387,-0.0578,0.0068,0.0038,0.0809,-0.1319,0.811,0.6537,22.8,25.9,1.136,0.001267,2,0.0,0
clean,none,height,0,000612.png,0,0.1528,0.0444,0.1528,-0.0866,0.0571,-0.1084,-0.0662,0.738,0.254,27.2,72.2,2.658,0.004215,9,0.671,0
clean,none,height,0,000612.png,0,0.2662,-0.1559,0.2662,0.0496,-0.1841,-0.1103,-0.0821,0.632,0.2632,46.1,133.0,2.888,0.013155,9,0.395,0
clean,none,width,0,000616.png,0,0.1483,0.1483,0.0428,-0.0549,0.0122,0.1055,-0.0934,0.835,0.6724,30.2,43.9,1.455,0.002843,3,0.05,0
clean,none,width,0,000623.png,0,0.1745,-0.1745,-0.0241,0.0363,-0.07,0.1504,-0.1045,0.723,0.3458,81.7,184.4,2.257,0.032358,7,0.031,0
clean,none,width,0,000657.png,0,0.1335,-0.1335,-0.0373,-0.0163,-0.0605,0.0962,-0.073,0.77,0.3552,15.7,21.1,1.348,0.000709,2,0.0,0
clean,none,translation_y,0,000657.png,0,0.1368,0.0088,-0.0465,-0.0259,-0.1368,-0.0376,0.0904,0.721,0.5261,17.4,21.1,1.211,0.000788,2,0.0,0
clean,none,width,0,000664.png,0,0.2198,0.2198,0.0663,0.0964,-0.0158,0.1536,-0.1235,0.769,0.5068,37.1,38.7,1.042,0.003103,5,0.599,0
clean,none,width,0,000725.png,0,0.173,-0.173,-0.0084,-0.0649,0.0029,0.1645,-0.1081,0.82,0.7178,67.4,164.2,2.437,0.023699,7,0.27,0
clean,none,height,0,000725.png,0,0.1353,0.0702,-0.1353,0.035,0.0637,-0.0651,-0.0716,0.815,0.8326,185.2,130.5,0.705,0.051786,7,0.414,1
clean,none,width,0,000725.png,0,0.2127,0.2127,0.0014,0.1021,-0.0243,0.2113,-0.1106,0.789,0.7433,86.1,138.4,1.608,0.025543,7,0.852,1
clean,none,width,0,000729.png,0,0.1238,0.1238,0.0875,-0.0762,0.0093,0.0363,-0.0476,0.797,0.6637,44.7,128.7,2.877,0.012365,6,0.479,0
clean,none,width,0,000747.png,0,0.177,-0.177,-0.0386,-0.0779,0.0043,0.1384,-0.0991,0.791,0.4229,28.6,98.4,3.433,0.00605,5,0.0,0
clean,none,width,0,000747.png,0,0.1481,0.1481,0.0896,-0.0953,0.0145,0.0586,-0.0529,0.769,0.372,30.6,38.5,1.261,0.002527,5,0.446,0
clean,none,height,0,000747.png,0,0.2514,0.0713,0.2514,0.0237,0.0259,-0.18,-0.2255,0.746,0.6725,18.2,23.0,1.262,0.000897,5,0.0,0
clean,none,translation_y,0,000747.png,0,0.1316,-0.117,-0.0949,-0.056,0.1316,0.0221,0.0146,0.675,0.6663,27.7,30.3,1.094,0.001805,5,0.0,0
clean,none,width,0,000843.png,0,0.1251,-0.1251,0.0299,0.0239,-0.0637,0.0952,-0.0614,0.779,0.4797,18.8,25.8,1.373,0.001045,9,0.0,0
clean,none,width,0,000846.png,0,0.1361,0.1361,0.0026,-0.038,0.0226,0.1336,-0.0981,0.843,0.6837,22.7,58.7,2.582,0.002862,7,0.0,0
clean,none,translation_y,0,000846.png,0,0.1004,-0.074,-0.0744,-0.0067,-0.1004,-0.0005,0.0259,0.755,0.5192,15.9,26.5,1.66,0.000907,7,0.0,0
clean,none,height,0,000846.png,0,0.2328,-0.044,-0.2328,0.007,-0.0514,-0.1888,-0.1815,0.733,0.5703,32.5,70.1,2.157,0.00489,7,0.168,0
clean,none,width,0,000846.png,0,0.5633,0.5633,0.0676,0.0473,-0.1453,0.4957,-0.418,0.499,0.558,22.5,56.9,2.524,0.002752,7,0.0,0
clean,none,width,0,000859.png,0,0.2538,0.2538,0.0552,-0.136,-0.0309,0.1986,-0.1178,0.74,0.6945,172.6,106.1,0.615,0.039311,6,0.0,1
clean,none,width,0,000859.png,0,0.2669,0.2669,0.0911,-0.0987,0.0148,0.1758,-0.1682,0.723,0.6033,21.8,30.6,1.407,0.00143,6,0.304,0
clean,none,scale,0,000882.png,0,0.1374,-0.1534,-0.1214,0.0337,-0.0584,0.032,-0.0951,0.744,0.6687,26.7,29.5,1.106,0.001689,9,0.104,0
clean,none,width,0,000910.png,0,0.1353,0.1353,0.0072,0.0346,0.0019,0.1281,-0.1007,0.875,0.397,26.6,56.4,2.125,0.003219,8,0.643,0
clean,none,height,0,000918.png,0,0.1811,-0.0888,-0.1811,-0.0156,0.0061,-0.0923,-0.1655,0.746,0.313,24.8,54.5,2.198,0.0029,7,0.0,0
clean,none,height,0,000936.png,0,0.2352,-0.1165,-0.2352,0.0275,-0.139,-0.1187,-0.0962,0.645,0.272,61.4,122.0,1.986,0.016092,12,0.832,0
clean,none,height,0,000936.png,0,0.252,-0.0251,0.252,-0.0563,0.2217,-0.227,-0.0304,0.611,0.3914,93.0,152.8,1.643,0.030519,12,0.98,1
clean,none,scale,0,000936.png,0,0.2317,-0.2473,-0.2161,0.0445,-0.0796,0.0312,-0.1677,0.59,0.3649,38.0,90.9,2.389,0.007423,12,0.978,0
clean,none,height,0,000985.png,0,0.138,0.0059,0.138,0.0037,0.0644,-0.1321,-0.0736,0.872,0.344,58.9,128.5,2.182,0.016225,11,0.898,0
clean,none,height,0,000998.png,0,0.1239,-0.0886,0.1239,0.0032,-0.0446,-0.0353,-0.0793,0.819,0.6931,31.7,40.4,1.273,0.002752,8,0.255,0
clean,none,height,0,001013.png,0,0.127,-0.0574,0.127,-0.0287,0.0719,-0.0696,-0.0551,0.829,0.7421,116.2,154.6,1.331,0.038519,9,1.0,1
clean,none,scale,0,001013.png,0,0.3094,-0.3237,-0.2951,0.0466,-0.1498,0.0286,-0.1739,0.475,0.3432,63.6,153.5,2.414,0.020907,9,1.0,0
clean,none,width,0,001100.png,0,0.1324,0.1324,-0.085,-0.0545,-0.0394,0.0475,-0.0779,0.816,0.3675,29.8,57.1,1.918,0.003655,8,0.683,0
clean,none,translation_x,0,001100.png,0,0.1774,-0.0986,0.0007,0.1774,-0.0961,0.0979,0.0788,0.581,0.3194,25.0,29.8,1.193,0.0016,8,0.351,0
clean,none,height,0,001190.png,0,0.1368,-0.0087,0.1368,0.0287,0.0442,-0.1281,-0.0926,0.834,0.9055,100.2,131.4,1.311,0.028289,7,0.589,0
clean,none,height,0,001190.png,0,0.1299,-0.0982,0.1299,-0.026,0.0106,-0.0317,-0.1039,0.807,0.8596,65.7,94.7,1.441,0.013372,7,0.46,0
