condition,type,magnitude,mean_iou,mean_iou_drop_pct
clean,none,0,1.0,0.0
width_m30,width,-30,0.7,30.0
width_m15,width,-15,0.85,15.0
width_p15,width,15,0.8696,13.04
width_p30,width,30,0.7692,23.08
height_m30,height,-30,0.7,30.0
height_m15,height,-15,0.85,15.0
height_p15,height,15,0.8696,13.04
height_p30,height,30,0.7692,23.08
rot_m15,rotation,-15,0.6309,36.91
rot_m7_5,rotation,-7.5,0.7669,23.31
rot_p7_5,rotation,7.5,0.7669,23.31
rot_p15,rotation,15,0.6309,36.91
trans_x_m15,translation_x,-15,0.7391,26.09
trans_x_p15,translation_x,15,0.7391,26.09
trans_y_m15,translation_y,-15,0.7391,26.09
trans_y_p15,translation_y,15,0.7391,26.09
scale_m15,scale,-15,0.7225,27.75
scale_p15,scale,15,0.7561,24.39
scale_m30,scale,-30,0.49,51.0
scale_p30,scale,30,0.5917,40.83
missing_10,missing,10,0.9,10.0
missing_20,missing,20,0.8,20.0
missing_30,missing,30,0.7,30.0
duplicate_10,duplicate,10,1.0,0.0
duplicate_20,duplicate,20,1.0,0.0
duplicate_30,duplicate,30,1.0,0.0
