condition,has_missing,image,tp,conf,h_px,w_px,area_frac,h_vs_median,h_vs_min,n_labels,max_label_iou,covered_by_labels,touches_edge,cy_frac
missing_10,1,000019.png,0,0.6061,42.0,47.5,0.004286,0.307,2.075,2,0.0,0.0,0,0.513
missing_10,1,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
missing_10,1,000136.png,1,0.9678,164.1,370.3,0.13049,3.759,6.112,5,0.003,0.003,1,0.779
missing_10,1,000178.png,1,0.812,48.3,149.1,0.015449,0.932,1.918,7,0.0,0.0,0,0.583
missing_10,1,000178.png,0,0.6714,31.8,44.1,0.003011,0.613,1.262,7,0.0,0.0,0,0.529
missing_10,1,000332.png,1,0.8599,36.5,46.3,0.003655,-1.0,-1.0,0,0.0,0.0,0,0.528
missing_10,1,000456.png,1,0.6662,29.2,33.0,0.00207,0.354,0.354,1,0.0,0.0,0,0.545
missing_10,1,000521.png,1,0.5935,19.5,26.8,0.001121,0.433,0.72,3,0.0,0.0,0,0.51
missing_10,1,000539.png,1,0.8231,33.3,71.8,0.005124,1.265,1.768,6,0.088,0.134,0,0.537
missing_10,1,000577.png,1,0.8436,63.1,69.5,0.009411,0.543,2.029,4,0.156,0.433,0,0.551
missing_10,1,000581.png,1,0.7119,35.6,40.9,0.003126,-1.0,-1.0,0,0.0,0.0,0,0.595
missing_10,1,000612.png,0,0.598,83.7,200.2,0.036006,1.314,2.899,9,0.493,0.766,0,0.579
missing_10,1,000647.png,1,0.9008,64.4,73.8,0.010182,1.873,4.041,4,0.0,0.0,0,0.564
missing_10,1,000725.png,0,0.7598,41.6,60.6,0.005402,0.623,1.503,7,0.809,0.833,0,0.547
missing_10,1,000729.png,1,0.8454,52.2,69.9,0.007835,0.619,1.324,5,0.033,0.064,0,0.538
missing_10,1,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,0.972,5,0.687,0.837,0,0.506
missing_10,1,000843.png,1,0.7798,45.1,66.9,0.006483,0.689,2.328,8,0.189,0.487,0,0.544
missing_10,1,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,7,0.0,0.0,0,0.542
