prevalence,dependence,ranking,aida_auc,baseline_auc,datasets,budget,pool,images,delta_name,delta,successes,iterations,power,monte_carlo_se,power_wilson95_low,power_wilson95_high,exceeds_expected_errors,pool_unique_errors_per_dataset,mean_aida_unique_errors,mean_baseline_unique_errors,blocks_per_dataset,blocks_total,per_dataset_evidence,evidence,required_active_minutes,status,official_scenario,exploratory,cell_seed
0.065,independent,small_gap,0.75,0.7,1,120,240,151,A,1.0,0,60,0.0,0.0,0.0,0.0602,False,15.4,11.75,10.9,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,15.4,11.75,10.9,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,15.4,11.75,10.9,1,1,observed,observed,10.0,too_few_iterations,False,True,20260913|D1_N120_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,240,480,303,A,1.0,2,60,0.03333333333333333,0.023174059571793568,0.0092,0.1136,False,31.7,25.03,23.13,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,240,480,303,B,12.0,0,60,0.0,0.0,0.0,0.0602,False,31.7,25.03,23.13,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,240,480,303,C,24.0,0,60,0.0,0.0,0.0,0.0602,False,31.7,25.03,23.13,2,2,extrapolated,extrapolated,20.1,too_few_iterations,False,True,20260913|D1_N240_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,360,720,454,A,1.0,3,60,0.05,0.028136571693556888,0.0171,0.137,False,46.3,35.72,32.32,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,360,720,454,B,18.0,0,60,0.0,0.0,0.0,0.0602,False,46.3,35.72,32.32,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,360,720,454,C,36.0,0,60,0.0,0.0,0.0,0.0602,False,46.3,35.72,32.32,3,3,extrapolated,extrapolated,30.1,too_few_iterations,False,True,20260913|D1_N360_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,480,960,605,A,1.0,2,60,0.03333333333333333,0.023174059571793568,0.0092,0.1136,False,63.2,49.03,44.55,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,480,960,605,B,24.0,0,60,0.0,0.0,0.0,0.0602,False,63.2,49.03,44.55,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,480,960,605,C,48.0,0,60,0.0,0.0,0.0,0.0602,False,63.2,49.03,44.55,4,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D1_N480_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,600,1200,757,A,1.0,5,60,0.08333333333333333,0.03568120160740314,0.0361,0.1807,False,78.3,61.03,55.6,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,600,1200,757,B,30.0,0,60,0.0,0.0,0.0,0.0602,False,78.3,61.03,55.6,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,1,600,1200,757,C,60.0,0,60,0.0,0.0,0.0,0.0602,False,78.3,61.03,55.6,5,5,extrapolated,extrapolated,50.2,too_few_iterations,False,True,20260913|D1_N600_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,2,120,240,151,A,1.0,4,60,0.06666666666666667,0.03220305943597653,0.0262,0.1593,False,15.9,12.5,11.32,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,2,120,240,151,B,6.0,0,60,0.0,0.0,0.0,0.0602,False,15.9,12.5,11.32,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,2,120,240,151,C,12.0,0,60,0.0,0.0,0.0,0.0602,False,15.9,12.5,11.32,1,2,observed,extrapolated,20.1,too_few_iterations,False,True,20260913|D2_N120_p0.065_independent_small_gap
0.065,independent,small_gap,0.75,0.7,2,240,480,303,A,1.0,2,60,0.03333333333333333,0.023174059571793568,0.0092,0.1136,False,31.7,24.41,22.52,2,4,extrapolated,extrapolated,40.2,too_few_iterations,False,True,20260913|D2_N240_p0.065_independent_small_gap
